playerID,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,hits_per_year,runs_per_year,rbis_per_year,hr_per_year
siegejo01,1,8,31,4,7,5,2,0,0.225806452,0.290322581,0,0,0.25,0,0,1,0,0,0,0,0,0,Fred Siegel,N,0.0,0.0,0,0,1884-06-09,1884-06-24,siegj102,siegejo01,7.0,4.0,0.0,0.0
siegljo01,2,39,124,13,25,17,3,4,0.201612903,0.314516129,1,15,0.277372263,0,0,10,0,0,3,10,0,0,Johnny Siegle,N,165.0,70.0,3,2,9/15/1905,10/7/1906,siegj101,siegljo01,12.5,6.5,7.5,0.5
siemeos01,2,47,119,8,29,26,1,1,0.243697479,0.294117647,1,11,0.262295082,0,0,3,7,0,0,3,0,0,Oscar Siemer,N,162.0,69.0,3,2,5/20/1925,9/18/1926,siemo101,siemeos01,14.5,4.0,5.5,0.5
sierrmo01,5,180,415,47,101,64,25,3,0.243373494,0.38313253,9,37,0.297777778,5,1,30,116,1,2,0,2,4,Moises Sierra,N,220.0,73.0,3,2,7/31/2012,9/28/2014,sierm001,sierrmo01,25.25,11.75,9.25,2.25
siffefr01,2,10,27,3,4,3,1,0,0.148148148,0.185185185,0,3,0.178571429,0,0,0,0,0,1,0,0,0,Frank Siffell,N,0.0,0.0,0,0,1884-06-14,1885-09-16,sifff101,siffefr01,2.0,1.5,1.5,0.0
sigaffr01,5,55,134,14,27,24,3,0,0.201492537,0.223880597,0,13,0.246478873,0,2,7,14,0,1,6,0,0,Frank Sigafoos,N,170.0,69.0,3,2,9/3/1926,5/30/1931,sigaf101,sigaffr01,6.75,3.5,3.25,0.0
siglipa01,3,23,50,5,9,9,0,0,0.18,0.18,0,2,0.254545455,2,0,5,10,0,0,1,0,0,Paddy Siglin,N,160.0,70.0,3,2,9/12/1914,9/30/1916,siglp101,siglipa01,3.0,1.6666666666666667,0.6666666666666666,0.0
sigmatr01,2,62,129,23,42,30,5,1,0.325581395,0.519379845,6,15,0.378571429,1,0,9,10,0,2,1,0,0,Tripp Sigman,N,180.0,72.0,2,2,9/18/1929,8/28/1930,sigmt101,sigmatr01,21.0,11.5,7.5,3.0
silbeed01,2,23,84,10,26,24,2,0,0.30952381,0.333333333,0,4,0.348314607,0,2,5,14,0,0,1,0,0,Eddie Silber,N,170.0,71.0,3,2,9/3/1937,4/30/1939,silbe101,silbeed01,13.0,5.0,2.0,0.0
silched01,1,14,48,5,13,9,4,0,0.270833333,0.354166667,0,3,0.326923077,4,0,4,0,0,0,0,0,0,Ed Silch,N,180.0,74.0,3,2,1888-04-29,1888-07-08,silce101,silched01,13.0,5.0,3.0,0.0
silvada01,1,1,4,0,1,1,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,Danny Silva,N,170.0,72.0,3,2,8/11/1919,8/11/1919,silvd101,silvada01,1.0,0.0,0.0,0.0
silveal01,2,14,7,3,1,1,0,0,0.142857143,0.142857143,0,2,0.142857143,0,0,0,1,0,0,0,0,0,Al Silvera,N,180.0,72.0,3,2,6/12/1955,5/8/1956,silva101,silveal01,0.5,1.5,1.0,0.0
silvech01,10,227,482,34,136,118,15,2,0.282157676,0.32780083,1,52,0.355679702,2,6,53,32,0,2,4,0,17,Charlie Silvera,N,175.0,70.0,3,2,9/29/1948,9/28/1957,silvc101,silvech01,13.6,3.4,5.2,0.1
silveda01,10,181,336,42,68,47,12,3,0.202380952,0.30952381,6,36,0.325062035,4,2,56,96,6,1,4,4,12,Dave Silvestri,N,180.0,72.0,3,2,4/27/1992,5/16/1999,silvd001,silveda01,7.555555555555555,4.666666666666667,4.0,0.6666666666666666
silveke01,8,102,203,26,44,27,11,1,0.216748768,0.354679803,5,25,0.326271186,0,1,31,41,0,2,2,0,5,Ken Silvestri,N,200.0,73.0,1,2,4/18/1939,7/31/1951,silvk101,silveke01,5.5,3.25,3.125,0.625
