playerID,inducted,weight,height,bats,throws,Sum of W,Sum of L,Sum of G,Average of ERA,Sum of GS,Sum of CG,Sum of SHO,Sum of SV,Sum of IPouts,Sum of ER,Sum of H,Sum of HR,Sum of BB,Sum of SO,Sum of BAOpp,Sum of IBB,Sum of WP,Sum of HBP,Sum of BK,Sum of BFP,Sum of GF,Sum of R,Sum of SH,Sum of SF,Sum of GIDP,GS_per_year,CG_per_year,SHO_per_year,SV_per_year,IPouts_per_year,ER_per_year,H_per_year,HR_per_year,BB_per_year,SO_per_year,BAOpp_per_year,IBB_per_year,WP_per_year,HBP_per_year,BK_per_year,BFP_per_year,GF_per_year,R_per_year,SH_per_year,SF_per_year,GIDP_per_year
drohato01,N,175.0,70.0,R,R,0,0,2,9.0,0,0,0,0,6,2,5,1,0,2,0.5,,0.0,0.0,0,10.0,2.0,2,,,,,,,,inf,inf,inf,inf,,inf,inf,,,,,inf,inf,inf,,,
duffybe01,N,180.0,71.0,R,R,0,0,3,5.56,2,0,0,0,34,7,18,0,3,8,0.36,,0.0,0.0,0,54.0,1.0,8,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,,,,inf,inf,inf,,,
eayrsed01,N,160.0,67.0,L,L,1,2,11,8.36,3,0,0,0,117,27,53,1,27,13,0.99,,1.0,2.0,0,189.0,6.0,34,,,,0.375,0.0,0.0,0.0,14.625,3.375,6.625,0.125,3.375,1.625,0.12375,,0.125,0.25,0.0,23.625,0.75,4.25,,,
elderhe01,N,200.0,74.0,L,L,0,0,1,8.1,0,0,0,0,10,3,4,0,5,0,0.28,,0.0,0.0,0,19.0,0.0,3,,,,,,,,inf,inf,inf,,inf,,inf,,,,,inf,,inf,,,
fosteru01,N,170.0,67.0,R,R,58,33,138,2.512,103,60,15,3,2527,221,726,6,305,294,1.18,,19.0,29.0,1,3372.0,27.0,304,,,,25.75,15.0,3.75,0.75,631.75,55.25,181.5,1.5,76.25,73.5,0.295,,4.75,7.25,0.25,843.0,6.75,76.0,,,
gedeojo01,N,167.0,72.0,R,R,0,0,1,0.0,0,0,0,1,1,0,0,0,0,0,0.0,,0.0,0.0,0,1.0,1.0,0,,,,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,,,
gervale01,N,165.0,70.0,L,L,0,1,5,5.74,2,1,0,0,47,10,18,0,4,1,0.38,,0.0,0.0,0,57.0,2.0,11,,,,inf,inf,,,inf,inf,inf,,inf,inf,inf,,,,,inf,inf,inf,,,
glavelu01,N,189.0,69.0,R,R,0,0,1,9.0,0,0,0,0,3,1,3,0,3,1,0.5,,0.0,0.0,0,9.0,1.0,5,,,,,,,,inf,inf,inf,,inf,inf,inf,,,,,inf,inf,inf,,,
greggda01,N,185.0,73.0,R,R,0,0,1,18.0,0,0,0,0,3,2,2,0,0,0,0.4,,0.0,1.0,2,6.0,1.0,2,,,,,,,,inf,inf,inf,,,,inf,,,inf,inf,inf,inf,inf,,,
grovech01,N,185.0,73.0,L,R,0,0,2,3.38,1,0,0,0,32,4,9,0,7,2,0.26,,0.0,0.0,0,41.0,0.0,4,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,,,,inf,,inf,,,
