playerID,num_years,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
johnsbe02,3,3,98,222,31,51,27,14,3,0.22972973,0.414414414,7,26,0.321568627,3,2,27,70,3,1,1,2,7,Ben Johnson,N,200,73,R,R,6/26/2005,6/10/2007,johnb003,johnsbe02
johnsbi01,5,5,169,636,121,168,134,15,17,0.264150943,0.350628931,2,90,0.367567568,45,0,98,61,0,6,0,0,0,Lefty Johnson,N,167,,L,L,1884-06-27,1892-04-27,johnb106,johnsbi01
johnsbi02,2,2,52,124,8,23,17,3,2,0.185483871,0.266129032,1,9,0.240601504,4,0,8,18,0,1,6,0,0,Bill Johnson,N,170,71,L,R,9/22/1916,7/30/1917,johnb109,johnsbi02
johnsbi03,10,11,964,3253,419,882,647,141,33,0.271134338,0.39102367,61,487,0.346471885,13,11,347,290,0,28,31,0,125,Billy Johnson,N,180,70,R,R,4/22/1943,5/10/1953,johnb108,johnsbi03
johnsbo02,14,17,874,2307,254,628,485,88,11,0.272214998,0.377113134,44,230,0.322916667,24,12,156,291,12,10,24,11,76,Bob Johnson,N,175,70,R,R,4/19/1960,6/20/1970,johnb104,johnsbo02
johnsbo04,3,3,98,249,24,49,31,8,1,0.196787149,0.345381526,9,27,0.261029412,3,1,20,80,0,2,2,1,11,Bob Johnson,N,195,75,R,R,9/1/1981,10/1/1983,johnb101,johnsbo04
johnsbr01,9,10,471,1415,132,351,236,60,6,0.248056537,0.402826855,49,196,0.298245614,1,3,80,268,16,12,16,16,42,Brian Johnson,N,210,74,R,R,4/5/1994,9/21/2001,johnb002,johnsbr01
johnsca01,1,1,16,67,10,15,14,1,0,0.223880597,0.23880597,0,7,0.223880597,1,0,0,1,0,0,0,0,0,William Johnson,N,,66,,,1871-05-20,1871-09-12,johnc105,johnsca01
johnsch01,1,1,6,16,2,4,3,0,1,0.25,0.375,0,2,0.333333333,0,0,1,0,0,1,0,0,0,Charlie Johnson,N,150,69,L,L,9/21/1908,10/7/1908,johnc104,johnsch01
johnscl01,19,23,1369,3945,539,1016,622,188,10,0.257541191,0.459315589,196,699,0.362639725,9,12,568,719,53,50,4,36,86,Cliff Johnson,N,215,76,R,R,9/13/1972,9/30/1986,johnc001,johnscl01
johnsda01,9,12,134,320,24,75,66,6,1,0.234375,0.278125,2,28,0.296296296,1,0,26,39,1,2,1,2,7,Darrell Johnson,N,180,73,R,R,4/20/1952,6/6/1962,johnd106,johnsda01
johnsdi01,9,10,746,2992,453,751,541,109,68,0.251002674,0.365975936,33,386,0.285167464,151,0,133,283,0,10,0,0,0,Dick Johnston,N,155,68,R,R,1884-08-12,1891-08-16,johnr106,johnsdi01
johnsdo01,11,11,1055,3774,478,992,756,154,68,0.262851086,0.35082141,14,381,0.319138522,139,48,264,292,0,48,184,0,0,Doc Johnston,N,170,72,L,L,10/3/1909,9/30/1922,johnd107,johnsdo01
johnsdo02,6,6,511,1935,219,528,425,89,6,0.272868217,0.3374677,8,175,0.315328467,26,0,112,171,0,8,47,0,34,Don Johnson,N,170,72,R,R,9/26/1943,5/16/1948,johnd101,johnsdo02
johnsed01,1,1,4,13,1,3,3,0,0,0.230769231,0.230769231,0,2,0.375,0,0,3,2,0,0,1,0,0,Ed Johnson,N,160,69,L,R,9/26/1920,10/3/1920,johne104,johnsed01
johnsel01,1,1,11,12,0,2,1,1,0,0.166666667,0.25,0,0,0.230769231,0,0,1,3,0,0,0,0,0,Elmer Johnson,N,185,69,R,R,4/24/1914,10/6/1914,johne103,johnsel01
johnsel02,6,7,318,749,80,161,116,26,7,0.214953271,0.316421896,12,69,0.270036991,46,16,54,218,1,3,16,4,10,Elliot Johnson,N,190,73,B,R,4/5/2008,5/2/2014,johne002,johnsel02
johnser01,11,12,813,2619,372,697,551,91,36,0.266132111,0.350133639,19,256,0.31722913,114,41,181,153,0,15,100,0,0,Ernie Johnson,N,151,69,L,R,8/5/1912,9/28/1925,johne102,johnser01
